Battery Capacity;Max Discharge;Title;Cost;Link
10;8;Freedom Won Lite Home 10/8 LiFePO4 Battery;73500;https://www.inverter-warehouse.co.za/products/freedom-won-lite-home-10-8-lifepo4-battery?variant=35368436072600&currency=ZAR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gclid=Cj0KCQjw0oyYBhDGARIsAMZEuMutMBFz_lCijGX1s0KGjw4Gk10TDTOAV9ZcyO-Mt046nYVJi7A1CVUaAkRREALw_wcB
5;4;Freedom Won Lite Home 5/4 LiFePO4 Battery;45000;https://ecopec.co.za/product/freedom-won-lite-home-5-4-lifepo4-battery/?utm_source=googleshopping&utm_medium=shp&utm_network=u&utm_mobile=0&utm_creative=612844084799&utm_position=&utm_random=7523927613128262159&gclid=Cj0KCQjw0oyYBhDGARIsAMZEuMsEVIT0PdUI3wuqXDH9kUSXckOEj8HtO-Zfrml6t5m3p7wy-LK2r2gaAp6KEALw_wcB&utm_campaign=smart%20shopping%20-%20za%20(5)&utm_ad_group_id=989636&utm_campaign_id=1029520&utm_prod_id=6375
10;8;SUNSYNK 10.24KWH 51.2V LITHIUM BATTERY;64500;https://www.liteglo.co.za/shop/sunsynk-10-24kwh-51-2v-lithium-battery/?utm_source=googleshopping&utm_medium=shp&utm_network=u&utm_mobile=0&utm_creative=579178666691&utm_position=&utm_random=7523927613128262159&gclid=Cj0KCQjw0oyYBhDGARIsAMZEuMtqPU5-1Zb-tWyY90W-a_s4PQZx_16TJ0Ty7sD_GX6oviDMZH3C-lwaAqTzEALw_wcB&utm_campaign=smart%20shopping%20-%20za&utm_ad_group_id=845676&utm_campaign_id=818513&utm_prod_id=45739
15;12;Freedom Won Lite Home 15/12;96000;https://solarsupply.co.za/shop/batteries-solar/freedom-won-lite/freedom-won-lite-home-15-11/?utm_source=Google%20Shopping&utm_campaign=Google%20Shopping%20Feed&utm_medium=cpc&utm_term=59988&gclid=Cj0KCQjw0oyYBhDGARIsAMZEuMvAGKqNfPuOmeCi8wCsfBNyPbU-0g0mAmlSc_us94CK83D9i1HibnUaAhBFEALw_wcB
20;16;Freedom Won Lite Home 20/16 LiFePO4 Battery;138000;https://www.inverter-warehouse.co.za/products/freedom-won-lite-home-20-16-lifepo4-battery?variant=37554454528184&currency=ZAR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gclid=Cj0KCQjw0oyYBhDGARIsAMZEuMvKUgQ4nWdC0u3YCu6noHUAC9je2nQCDrXmgixaW7e-dc0CtchCYfkaAjv9EALw_wcB
30;24;Freedom Won Lite Home 30/24 LiFePO4 Battery;205000;https://www.inverter-warehouse.co.za/products/freedom-won-lite-home-30-24-lifepo4-battery?variant=40187618295992&currency=ZAR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gclid=Cj0KCQjw0oyYBhDGARIsAMZEuMuJiiChSL6LjW6Adg1F7feYB4ZghR0GhJCwQoXW1QcW6pH-kQoxmH4aAm_VEALw_wcB
10,24;9,2;Fusion 10.24kWh Hub Lithium-ion Battery;58000;https://solaradvice.co.za/product/fusion-10-24kwh-hub-lithium-ion-battery
4,8;4,5;Pylon UP5000 4.8kWh Li-Ion Solar Battery 48V;30000;https://solaradvice.co.za/product/pylon-up5000-4-8kwh-li-ion-solar-battery-48v
7,2;5,76;Dyness 7.2kWh Lithium-ion Battery Pack;50000;https://solaradvice.co.za/product/dyness-7-2kwh-lithium-ion-battery-pack
5,12;4,1;Dyness 5.12kWh Block – Lithium-ion Battery;30000;https://solaradvice.co.za/product/dyness-5-12kwh-block-lithium-ion-battery
